"Pos","Company","Link","PostDate","Page No"
"Systems Specialist (Banking) - Java, J2EE, .Net, VB.Net, Web, Oracle, UNIX Scripts","George Samuel Associates Ltd.","https://hk.jobsdb.com/hk/en/job/systems-specialist-java-j2ee-dotnet-vb-dotnet-web-oracle-unix-scripts-100003005882180","2018-02-01","1"
"Application Support","Morgan McKinley","https://hk.jobsdb.com/hk/en/job/application-support-100003005882170","2018-02-01","1"
"Software Engineer Lead (Cloud SaaS)","Ambitious People","https://hk.jobsdb.com/hk/en/job/software-engineer-lead-100003005882161","2018-02-01","1"
"C# Solutions Engineer/Consultant - Software firm ($30k-$35k)","Ambitious People","https://hk.jobsdb.com/hk/en/job/csharp-solutions-engineer-consultant-software-firm-100003005882154","2018-02-01","1"
"System Analyst (Java, In-house, Up to 40K)","Attivo Consulting Limited","https://hk.jobsdb.com/hk/en/job/system-analyst-100003005882117","2018-02-01","1"
"System Analyst (Java, In-house, Up to 40K)","Attivo Consulting Limited","https://hk.jobsdb.com/hk/en/job/system-analyst-100003005882117","2018-02-01","1"
"C++ Developer","GreySpark Partners (HK) Limited","https://hk.jobsdb.com/hk/en/job/cplusplus-developer-100003005882112","2018-02-01","1"
"Core Java Developer (All Levels)","GreySpark Partners (HK) Limited","https://hk.jobsdb.com/hk/en/job/core-java-developer-100003005882103","2018-02-01","1"
"IT Project Manager - construction","Robert Walters Hong Kong","https://hk.jobsdb.com/hk/en/job/it-project-manager-construction-100003005882090","2018-02-01","1"
"IT Infrastructure Specialist","Morgan McKinley","https://hk.jobsdb.com/hk/en/job/it-infrastructure-specialist-100003005882089","2018-02-01","1"
"Senior Analyst Programmer (SWIFT)","Nityo Infotech Services Limited","https://hk.jobsdb.com/hk/en/job/senior-analyst-programmer-100003005882082","2018-02-01","1"
"Java Developers (Banking experience is a MUST)","Nityo Infotech Services Limited","https://hk.jobsdb.com/hk/en/job/java-developers-100003005882081","2018-02-01","1"
"Application Developer / Programmer","Asian TAT Limited","https://hk.jobsdb.com/hk/en/job/application-developer-programmer-100003005882068","2018-02-01","1"
"Solution Consultant","ServiceTech Systems Limited","https://hk.jobsdb.com/hk/en/job/solution-consultant-100003005882065","2018-02-01","1"
"Computer Vision/Machine Learning Developer","Statsmaster Limited","https://hk.jobsdb.com/hk/en/job/computer-vision-machine-learning-developer-100003005882050","2018-02-01","1"
